SchoolID,SchoolURL,SchoolName,VolumeNumber,PercentTranscribed,ListPage,SchoolXML,SchoolURLClean
4606380,https://www.duchas.ie/en/cbes/4606380?Route=schools,Cill Éinne,0001,100,https://www.duchas.ie/en/cbes/schools?Page=1&PerPage=20,https://www.duchas.ie/xml/cbes/4606380,https://www.duchas.ie/en/cbes/4606380
4606492,https://www.duchas.ie/en/cbes/4606492?Route=schools,Fearainn an Choirce,0001,100,https://www.duchas.ie/en/cbes/schools?Page=1&PerPage=20,https://www.duchas.ie/xml/cbes/4606492,https://www.duchas.ie/en/cbes/4606492
4613911,https://www.duchas.ie/en/cbes/4613911?Route=schools,Fearann an Choirce,0001,100,https://www.duchas.ie/en/cbes/schools?Page=1&PerPage=20,https://www.duchas.ie/xml/cbes/4613911,https://www.duchas.ie/en/cbes/4613911
4602668,https://www.duchas.ie/en/cbes/4602668?Route=schools,Inis Oirthir (Inisheer),0001,100,https://www.duchas.ie/en/cbes/schools?Page=1&PerPage=20,https://www.duchas.ie/xml/cbes/4602668,https://www.duchas.ie/en/cbes/4602668
4602669,https://www.duchas.ie/en/cbes/4602669?Route=schools,Breac-chluain,0001,100,https://www.duchas.ie/en/cbes/schools?Page=1&PerPage=20,https://www.duchas.ie/xml/cbes/4602669,https://www.duchas.ie/en/cbes/4602669
4602670,https://www.duchas.ie/en/cbes/4602670?Route=schools,Eoghanacht,0002,100,https://www.duchas.ie/en/cbes/schools?Page=1&PerPage=20,https://www.duchas.ie/xml/cbes/4602670,https://www.duchas.ie/en/cbes/4602670
4602671,https://www.duchas.ie/en/cbes/4602671?Route=schools,Naomh Rónán,0002,100,https://www.duchas.ie/en/cbes/schools?Page=1&PerPage=20,https://www.duchas.ie/xml/cbes/4602671,https://www.duchas.ie/en/cbes/4602671
5235142,https://www.duchas.ie/en/cbes/5235142?Route=schools,Inis Meáin,0002C,100,https://www.duchas.ie/en/cbes/schools?Page=1&PerPage=20,https://www.duchas.ie/xml/cbes/5235142,https://www.duchas.ie/en/cbes/5235142
4602673,https://www.duchas.ie/en/cbes/4602673?Route=schools,Carnán,0003,100,https://www.duchas.ie/en/cbes/schools?Page=1&PerPage=20,https://www.duchas.ie/xml/cbes/4602673,https://www.duchas.ie/en/cbes/4602673
4602674,https://www.duchas.ie/en/cbes/4602674?Route=schools,"An Clochar, B'l'Áthan Ríogh",0003,100,https://www.duchas.ie/en/cbes/schools?Page=1&PerPage=20,https://www.duchas.ie/xml/cbes/4602674,https://www.duchas.ie/en/cbes/4602674
4602675,https://www.duchas.ie/en/cbes/4602675?Route=schools,Eiscear,0003,100,https://www.duchas.ie/en/cbes/schools?Page=1&PerPage=20,https://www.duchas.ie/xml/cbes/4602675,https://www.duchas.ie/en/cbes/4602675
4602676,https://www.duchas.ie/en/cbes/4602676?Route=schools,An Clochán (B),0004,100,https://www.duchas.ie/en/cbes/schools?Page=1&PerPage=20,https://www.duchas.ie/xml/cbes/4602676,https://www.duchas.ie/en/cbes/4602676
4602677,https://www.duchas.ie/en/cbes/4602677?Route=schools,An Clochán (B),0004,100,https://www.duchas.ie/en/cbes/schools?Page=1&PerPage=20,https://www.duchas.ie/xml/cbes/4602677,https://www.duchas.ie/en/cbes/4602677
4616628,https://www.duchas.ie/en/cbes/4616628?Route=schools,Cloigeann,0004,100,https://www.duchas.ie/en/cbes/schools?Page=1&PerPage=20,https://www.duchas.ie/xml/cbes/4616628,https://www.duchas.ie/en/cbes/4616628
4602679,https://www.duchas.ie/en/cbes/4602679?Route=schools,Cushatrough,0004,100,https://www.duchas.ie/en/cbes/schools?Page=1&PerPage=20,https://www.duchas.ie/xml/cbes/4602679,https://www.duchas.ie/en/cbes/4602679
